Data,Open,High,Low,Close
16/08/2023 10:30:00,118.735,118.840,118.560,118.800
16/08/2023 10:25:00,119.000,119.020,118.590,118.735
16/08/2023 10:20:00,118.690,119.015,118.485,119.000
16/08/2023 10:15:00,118.470,118.765,118.365,118.690
16/08/2023 10:10:00,118.455,118.520,118.295,118.470
16/08/2023 10:05:00,118.405,118.480,118.135,118.455
16/08/2023 10:00:00,118.405,118.430,118.205,118.405
16/08/2023 09:55:00,118.240,118.435,118.235,118.405
16/08/2023 09:50:00,118.375,118.400,118.175,118.235
16/08/2023 09:45:00,118.415,118.450,118.320,118.370
16/08/2023 09:40:00,118.435,118.440,118.305,118.420
16/08/2023 09:35:00,118.460,118.585,118.370,118.430
16/08/2023 09:30:00,118.525,118.550,118.415,118.460
16/08/2023 09:25:00,118.405,118.530,118.350,118.525
16/08/2023 09:20:00,118.475,118.490,118.340,118.405
16/08/2023 09:15:00,118.475,118.520,118.420,118.480
16/08/2023 09:10:00,118.805,118.820,118.450,118.475
16/08/2023 09:05:00,118.590,118.835,118.560,118.800
16/08/2023 09:00:00,118.440,118.625,118.280,118.590
15/08/2023 17:50:00,117.970,118.075,117.960,118.075
15/08/2023 17:45:00,118.015,118.055,117.960,117.975
15/08/2023 17:40:00,118.100,118.120,118.000,118.010
15/08/2023 17:35:00,118.125,118.175,118.055,118.100
15/08/2023 17:30:00,118.180,118.215,118.055,118.125
15/08/2023 17:25:00,118.145,118.260,118.130,118.180
15/08/2023 17:20:00,118.255,118.260,118.120,118.155
15/08/2023 17:15:00,118.290,118.305,118.145,118.255
15/08/2023 17:10:00,118.350,118.390,118.245,118.300
15/08/2023 17:05:00,118.425,118.475,118.315,118.355
15/08/2023 17:00:00,118.375,118.425,118.320,118.425
15/08/2023 16:55:00,118.470,118.505,118.355,118.365
15/08/2023 16:50:00,118.535,118.595,118.420,118.470
15/08/2023 16:45:00,118.495,118.545,118.475,118.535
15/08/2023 16:40:00,118.430,118.555,118.420,118.500
15/08/2023 16:35:00,118.580,118.600,118.305,118.425
15/08/2023 16:30:00,118.660,118.670,118.305,118.575
15/08/2023 16:25:00,118.870,118.885,118.635,118.660
15/08/2023 16:20:00,118.905,118.970,118.825,118.870
15/08/2023 16:15:00,118.680,118.925,118.680,118.905
15/08/2023 16:10:00,118.910,118.925,118.685,118.685
15/08/2023 16:05:00,118.895,118.920,118.850,118.910
15/08/2023 16:00:00,118.870,118.930,118.815,118.890
15/08/2023 15:55:00,118.875,118.910,118.830,118.875
15/08/2023 15:50:00,118.870,118.900,118.810,118.875
15/08/2023 15:45:00,118.925,118.950,118.865,118.870
15/08/2023 15:40:00,118.835,118.935,118.810,118.935
15/08/2023 15:35:00,118.915,118.940,118.820,118.830
15/08/2023 15:30:00,118.890,118.965,118.875,118.915
15/08/2023 15:25:00,118.915,118.940,118.835,118.880
15/08/2023 15:20:00,118.915,118.960,118.865,118.915
15/08/2023 15:15:00,119.025,119.035,118.905,118.925
15/08/2023 15:10:00,118.985,119.065,118.970,119.035
15/08/2023 15:05:00,118.990,119.020,118.930,118.995
15/08/2023 15:00:00,119.085,119.120,118.990,118.990
15/08/2023 14:55:00,118.950,119.105,118.875,119.080
15/08/2023 14:50:00,118.990,119.060,118.945,118.945
15/08/2023 14:45:00,118.880,119.030,118.880,118.985
15/08/2023 14:40:00,118.810,118.895,118.790,118.885
15/08/2023 14:35:00,118.840,118.870,118.780,118.810
15/08/2023 14:30:00,118.910,118.930,118.830,118.850
15/08/2023 14:25:00,118.960,118.970,118.880,118.910
15/08/2023 14:20:00,118.935,118.980,118.905,118.965
15/08/2023 14:15:00,118.890,118.960,118.815,118.945
15/08/2023 14:10:00,118.855,118.925,118.820,118.885
15/08/2023 14:05:00,118.870,118.940,118.830,118.855
15/08/2023 14:00:00,118.870,118.915,118.845,118.870
15/08/2023 13:55:00,118.890,118.905,118.825,118.875
15/08/2023 13:50:00,118.755,118.895,118.725,118.890
15/08/2023 13:45:00,118.810,118.835,118.610,118.755
15/08/2023 13:40:00,118.875,118.910,118.780,118.810
15/08/2023 13:35:00,118.860,118.890,118.780,118.880
15/08/2023 13:30:00,118.760,118.880,118.715,118.855
15/08/2023 13:25:00,118.850,118.855,118.665,118.760
15/08/2023 13:20:00,118.920,118.945,118.785,118.855
15/08/2023 13:15:00,118.950,118.990,118.830,118.915
15/08/2023 13:10:00,119.015,119.035,118.905,118.950
15/08/2023 13:05:00,119.010,119.025,118.915,119.020
15/08/2023 13:00:00,119.030,119.120,119.000,119.015
15/08/2023 12:55:00,119.135,119.140,118.955,119.030
15/08/2023 12:50:00,119.115,119.150,119.020,119.125
15/08/2023 12:45:00,119.105,119.160,119.045,119.115
15/08/2023 12:40:00,119.105,119.175,119.090,119.105
15/08/2023 12:35:00,119.200,119.215,119.065,119.105
15/08/2023 12:30:00,119.235,119.360,119.115,119.205
15/08/2023 12:25:00,119.100,119.250,119.015,119.235
15/08/2023 12:20:00,118.970,119.095,118.925,119.095
15/08/2023 12:15:00,119.080,119.080,118.885,118.980
15/08/2023 12:10:00,118.850,119.110,118.850,119.080
15/08/2023 12:05:00,118.855,118.875,118.765,118.855
15/08/2023 12:00:00,118.615,118.885,118.600,118.855
15/08/2023 11:55:00,118.705,118.775,118.575,118.610
15/08/2023 11:50:00,118.760,118.815,118.635,118.715
15/08/2023 11:45:00,118.885,118.945,118.705,118.765
